110	19	-7	4.50	1635722064
120	17	-22	4.20	1635722064
121	15	-13	4.46	1635722064
130	22	-17	4.37	1635722064
140	25	-10	4.34	1635722064
141	27	-4	4.43	1635722064
150	27	4	4.58	1635722064
151	25	10	4.73	1635722064
170	10	25	4.86	1635722064
171	17	22	4.78	1635722064
200	4	27	4.87	1635720574
210	-4	27	4.86	1635720574
211	-10	25	4.83	1635720574
220	-17	22	4.78	1635722069
221	-22	17	4.71	1635722069
230	-25	10	4.56	1635722069
240	-27	-4	4.40	1635722069
241	-27	4	4.51	1635722069
260	-22	-17	4.18	1635722069
261	-17	-22	4.25	1635722069
270	-10	-25	4.11	1635722069
271	-4	-27	4.04	1635722069
300	-3	-20	4.22	1635722075
301	-10	-17	4.29	1635722075
310	-15	-13	4.39	1635722075
320	-19	-7	4.51	1635722075
321	-20	0	4.61	1635722075
330	-19	7	4.62	1635722075
340	-15	13	4.70	1635722075
341	-10	17	4.84	1635722075
350	-3	20	4.89	1635722075
400	9	9	4.80	1635722081
410	3	13	4.88	1635722081
420	-9	9	4.78	1635722081
421	-3	13	4.92	1635722081
430	-13	3	4.71	1635722081
440	-13	-3	4.59	1635722081
450	-9	-9	4.52	1635722081
451	-3	-13	4.44	1635722081
460	3	-13	4.51	1635722081
470	3	-20	4.33	1635722081
500	4	-27	4.09	1635722083
510	10	-17	4.35	1635722083
511	10	-25	4.23	1635722083
520	9	-9	4.57	1635722083
530	3	-5	4.61	1635722083
540	-3	-5	4.59	1635722083
541	-6	0	4.69	1635722083
550	-3	5	4.72	1635722083
560	3	5	4.84	1635722083
561	6	0	4.70	1635722083
570	13	-3	4.69	1635722083
571	13	3	4.80	1635722083
